offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75212,Cleared by Exceptional Arrest
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75231,Suspended
AUTO ACCESSORY THEFT,B,M,25,75216,Suspended
BURGLARY IF HABITATION,W,F,65,75243,Open
THEFT,W,M,62,75137,Suspended
INV OF DEBIT CARD ABUSE,B,M,52,75215,Suspended
UUMV,W,F,21,75227,Suspended
FORGERY,W,F,49,75206,Unfounded
SEXUAL ASSAULT (CHILD),Withheld,Withheld,Withheld,75217,Cleared by Arrest
CRIMINAL MISCHIEF,B,F,49,75237,Suspended
CRIMINAL MISCHIEF,B,F,39,75216,Suspended
BMV,W,M,35,75211,Suspended
ASSAULT FV M/C,Withheld,Withheld,Withheld,75243,Cleared by Arrest
BMV,W,F,54,75050,Suspended
INV HARASSING PH CALLS,B,F,42,75237,Suspended
BMV,B,M,33,75287,Suspended
CHILD ABANDONMENT W/INTENT T,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
BURGLARY,B,F,23,75217,Suspended
AGG ASSAULT-F/V//AGG ROBBERY,L,M,47,75227,Cleared by Exceptional Arrest
ACC INV DMG VEHICLE  FLID,W,F,29,75287,Suspended
AUTO ACCESSORY THEFT,L,M,49,75224,Open
INJURED PERSON,L,M,35,75224,Suspended
UUMV,L,F,31,75220,Suspended
CRIMINAL MISCHIEF,L,M,33,75204,Suspended
UUMV,B,M,19,75217,Suspended
AGG ASSLT F/V,B,F,42,75241,Cleared by Exceptional Arrest
BURGLARY OF HABITATION,B,F,27,75211,Suspended
BMV,L,M,42,75149,Suspended
INJURED PERSON,B,F,42,75217,Suspended
CRIMINAL MISCHIEF,W,F,45,75254,Suspended
UUMV,W,M,41,75238,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75243,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,B,M,23,75149,Suspended
INVESTIGATION OF THEFT,W,F,56,75228,Suspended
ABANDONED CHILD,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
ROBBERY,L,M,28,75211,Suspended
BMV,B,M,40,75228,Suspended
CRIMINAL MISCHIEF,L,M,22,75240,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75224,Suspended
BMV,B,M,33,75243,Suspended
IDENTITY THEFT,W,M,59,75229,Unfounded
AGGRAVATED ROBBERY,L,M,19,75224,Cleared by Arrest
UUMV,B,M,56,75038,Suspended
ASSAULT - FV M/A,Withheld,Withheld,Withheld,75248,Cleared by Arrest
UUMV,L,F,43,75223,Suspended
ROBBERY,B,M,47,75215,Suspended
CHILD ABANDONMENT,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
LICENSE PLATE THEFT,W,F,46,75056,Suspended
UUMV,L,M,45,75060,Suspended
THEFT,B,F,61,75243,Open
BMV,W,M,29,75209,Suspended
RESIDENTIAL BURGLARY,L,F,39,75210,Suspended
BURLARY OF HABITATION,W,F,63,75220,Suspended
ENDANGERING CHILD,Withheld,Withheld,Withheld,75241,Cleared by Arrest
ACC INV DMG VEHICLE,L,F,30,75238,Suspended
THEFT,B,F,23,75228,Suspended
BMV,L,M,48,75243,Suspended
CRIMINAL MISCHIEF,B,F,37,75217,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75240,Suspended
BURGLARY,L,F,27,75236,Suspended
BURGLARY OF A RESIDENCE,L,F,30,75211,Open
CRIMINAL MISCHIEF,W,F,78,75206,Suspended
HARASSMENT BY TEXT,Withheld,Withheld,Withheld,75253,Suspended
INJURED PERSON,W,F,69,76247,Suspended
BMV,L,M,41,75220,Suspended
BURGLARY MOTOR VEHICLE,L,F,20,75216,Suspended
AGGRAVATED ROBBERY,B,F,24,75227,Suspended
BURGLARY OF RESIDENCE,L,F,37,75208,Suspended
CRITICAL MISSING/FOUND,Withheld,Withheld,Withheld,75243,Administratively Closed
NATURAL DEATH,L,M,57,75203,Administratively Closed
CRIMINAL MISCHIEF,B,M,65,75115,Cleared by Exceptional Arrest
AGG ASSAULT D/W,Withheld,Withheld,Withheld,75224,Cleared by Arrest
CRIMINAL MISCHIEF,B,M,51,75237,Open
THEFT,L,F,25,75206,Suspended
STALKING,B,F,24,75243,Suspended
THREATENING PHONE CALL,B,F,20,75240,Cleared by Exceptional Arrest
INV THEFT,W,M,43,75215,Suspended
AGGRAVATED ASSAULT W/MOTOR V,L,M,37,75224,Cleared by Arrest
ASSAULT M/A STANGULATION,Withheld,Withheld,Withheld,75243,Cleared by Exceptional Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75227,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75236,Cleared by Arrest
DUTY ON STRIKE UNATTEND VEH,L,M,32,75224,Suspended
INVEST OF INTER CHILD CUSTOD,B,F,23,75235,Cleared by Exceptional Arrest
INV OF THEFT OF SERVICE,C,M,46,75243,Suspended
HARASSING PHONE CALLS,B,F,61,75243,Cleared by Exceptional Arrest
INV OF IDENTITY THEFT,B,F,36,75228,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75215,Suspended
CRIMINAL MISCHIEF,B,F,23,75229,Suspended
THEFT AUTO ACCESSORY,W,F,45,75229,Suspended
BMV,W,F,26,75243,Suspended
CHILD ENDANGERMENT,Withheld,Withheld,Withheld,75056,Cleared by Arrest
INV OF HARASSMENT/PHONE CALLS,L,F,26,75211,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75229,Administratively Closed
BURGLARY ASSAULT,Withheld,Withheld,Withheld,75212,Suspended
ROBBERY OF VEHICLE,L,M,26,75216,Suspended
BURGLARY OF HABITATION,B,F,32,75241,Suspended
BURGLARY OF A RESIDENCE,L,F,39,75238,Suspended
INV OF IDENTITY THEFT,L,M,30,75208,Suspended
CRIMINAL MISCHIEF,B,M,28,75231,Suspended
ASSAULT BY THREAT F/V M/C,Withheld,Withheld,Withheld,75216,Cleared by Arrest
ASSAULT BY THREAT FV M/C,Withheld,Withheld,Withheld,75241,Cleared by Arrest
THEFT,W,F,34,75215,Suspended
BURGLARY OF RESIDENCE,B,M,53,75235,Open
ASSAULT,Withheld,Withheld,Withheld,75243,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75211,Open
ASSAULT,Withheld,Withheld,Withheld,75220,Cleared by Exceptional Arrest
BMV,W,F,69,75219,Suspended
CRIMINAL MISCHIEF,W,M,53,75208,Suspended
INVESTIGATION OF ASSAULT,W,F,33,75203,Suspended
BMV,L,F,38,75212,Suspended
UUMV RECOVERED,L,M,35,75230,Suspended
HARASSING PHONE CALLS,B,F,41,75201,Cleared by Exceptional Arrest
INJURED PERSON,L,F,52,75006,Suspended
BMV,W,M,61,28756,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75287,Cleared by Arrest
AGGRAVATED ROBBERY,W,M,59,76106,Suspended
AGG ROBBERY,W,F,78,75220,Suspended
ASSAULT FV STRANGULATION,Withheld,Withheld,Withheld,75231,Suspended
BURGLARY OF HABITATION,A,M,27,75206,Suspended
CRIMINAL MISCHIEF,B,F,67,75243,Suspended
UUMV,B,M,65,75241,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75249,Administratively Closed
ASSAULT M/C,Withheld,Withheld,Withheld,75212,Cleared by Arrest
TERRORISTIC THREAT,B,M,59,75217,Cleared by Arrest
THEFT,W,F,52,75214,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75217,Suspended
UNEXPLAINED DEATH//NATURAL,B,M,22,75228,Administratively Closed
WANT TO LOCATE,B,F,48,75216,Administratively Closed
ASSAULT,Withheld,Withheld,Withheld,75231,Suspended
BURGLARY OF A MOTOR VEHICLE,W,M,29,75204,Suspended
ATTEMPT BURGLARY OF RESIDENCE,L,F,48,75211,Open
ASSAULT M/A,Withheld,Withheld,Withheld,75208,Suspended
INVESTIGATION OF BMV,L,F,28,75206,Suspended
LOST PROPERTY,B,F,19,75216,Suspended
CRIMINAL MISCHIEF,L,M,34,75214,Suspended
INDECENY W/CHILD - CONTACT,Withheld,Withheld,Withheld,75253,Unfounded
BURGLARY OF MOTOR VEHICLE,W,M,24,29910,Suspended
INV OF ROBBERY OF INDIVIDUAL,B,F,18,75227,Open
SEXUAL ASLT,Withheld,Withheld,Withheld,75238,Suspended
BMV,W,M,49,75214,Suspended
BURGLARY OF A RESIDENCE,W,M,35,75287,Suspended
INV OF ASSAULT,B,M,26,75243,Suspended
INV OF IDENTITY THEFT,W,F,60,75206,Suspended
HARASSMENT-THREATS (BY TEXT),W,F,24,75287,Cleared by Exceptional Arrest
UUMV,B,M,29,75206,Suspended
BURGLARY OF MOTOR VEHICLE,L,F,25,75220,Suspended
UUMV,B,F,59,75227,Suspended
ASSAULT M/C (FV),Withheld,Withheld,Withheld,75220,Cleared by Arrest
INV IDENTITY THEFT,A,M,31,73159,Suspended
THEFT OF SERVICE,B,F,36,75243,Suspended
BMV     (PRIMARY),B,F,22,75149,Suspended
AUTO ACC.THEFT,W,F,25,75227,Suspended
THREATENING PHONE CALLS,B,M,52,76018,Suspended
INJURED PERSON,B,M,27,75228,Suspended
BURGLARY OF MOTOR VEHICLE,L,M,22,75231,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75232,Suspended
CRIMINAL MISCHIEF,W,M,38,75228,Suspended
BURGLARY,B,F,32,75237,Suspended
INVESTIGATION OF ASSAULT,B,F,26,75243,Suspended
BURGLARY OF RESIDENCE,L,F,52,75208,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75237,Unfounded
UUMV,B,M,62,75210,Suspended
BMV,B,M,33,75219,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75253,Cleared by Arrest
INV OF THEFT    (THEFT),B,M,40,75243,Suspended
INJURED PERSON,W,F,40,75051,Suspended
INV BURG OF RESIDENCE,W,F,27,75252,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75044,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75241,Suspended
ATTEMPTED BURGLARY,C,M,29,75287,Suspended
UUMV,B,M,52,75243,Suspended
INVESTIGATION OF ROBBERY,L,M,47,75228,Open
AGG ROBBERY,L,M,37,75228,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75238,Cleared by Arrest
BMV,W,F,63,75243,Suspended
UUMV,L,M,34,75253,Suspended
UUMV,W,M,59,75228,Suspended
THEFT,W,M,79,75228,Suspended
ROBBERY,L,M,45,75243,Suspended
THEFT OF AUTOMOTIVE ACCESORY,B,M,67,75249,Suspended
AGG ASSAULT,B,F,34,75232,Suspended
INVEST OF CREDIT CARD ABUSE,W,F,46,75209,Suspended
UUMV,L,M,41,75253,Suspended
BURGLARY OF BUILDING,B,F,61,75217,Suspended
DEADLY CONDUCT,Withheld,Withheld,Withheld,75040,Suspended
INV OF HARASSMENT,B,M,24,75231,Suspended
INJURED PERSON,Withheld,Withheld,Withheld,75216,Suspended
BURGLARY OF RESIDENCE,B,M,29,75211,Suspended
BMV  PRIMARY,W,M,59,75022,Suspended
WANT TO LOCATE,W,F,23,75220,Administratively Closed
BURGLARY,B,F,20,75241,Suspended
CRIMINAL MISCHIEF,L,F,46,75220,Suspended
AGG ROBBERY,B,M,25,75232,Suspended
CRITICAL MISSING,Withheld,Withheld,Withheld,75210,Administratively Closed
BURGLARY OF RESIDENCE,W,F,19,75287,Suspended
UUMV,W,F,47,75211,Suspended
HARASSING PHONE CALLS,A,F,70,75287,Suspended
ASSAULT MC,Withheld,Withheld,Withheld,75089,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75070,Suspended
BURGLARY OF RESIDENCE,L,M,24,75240,Open
ASSAULT F/V CLASS C,Withheld,Withheld,Withheld,75237,Cleared by Arrest
ASSAULT FV M/A,Withheld,Withheld,Withheld,75227,Cleared by Exceptional Arrest
AGGRAVATED ASSAULT,L,M,21,75238,Suspended
CRIMINAL MISCHIEF,B,M,58,75215,Suspended
TELEPHONE HARRASEMENT,W,F,38,75228,Suspended
BMV,L,M,25,75211,Suspended
CRIMINAL MISCHIEF,B,F,29,75216,Suspended
F/V ASSAULT (STRANGULATION),Withheld,Withheld,Withheld,75237,Cleared by Arrest
BURG/RESD,B,F,49,75241,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
ASSAULT F.V. M/A,Withheld,Withheld,Withheld,75216,Suspended
CRIMINAL MISCHIEF,C,M,33,75243,Suspended
THEFT,L,F,41,75208,Suspended
RECKLESS DAMAGE,W,M,26,75204,Suspended
BMV,W,F,35,75243,Suspended
INV ASLT THREAT/THREAT BY PHON,B,F,21,75214,Cleared by Exceptional Arrest
INV OF IDENTITY THEFT,B,F,48,75043,Administratively Closed
ACC INV DMG VEHICLE,L,F,20,75206,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,W,F,26,75287,Suspended
AGGRAVATED ASSAULT,B,M,25,75215,Suspended
FLID,B,M,52,75233,Suspended
INVESTIGATION OF BURGLARY,W,M,42,75206,Suspended
CRIMINAL MISCHIEF,B,F,50,75287,Suspended
CONTINUOUS SEXUAL ABUSE,Withheld,Withheld,Withheld,79706,Cleared by Arrest
AGGRAVATED ASSAULT FV,B,M,25,75243,Suspended
THEFT,B,F,22,75220,Unfounded
ASSAULT M/A//ASSAULT M/C,Withheld,Withheld,Withheld,75244,Suspended
ASSAULT FV M/C,Withheld,Withheld,Withheld,75215,Cleared by Arrest
WANT TO LOCATE,B,F,38,75227,Administratively Closed
UUMV,L,M,48,75228,Suspended
CRIMINAL MISCHIEF,W,F,26,75238,Suspended
THEFT AUTO ACCESSORY,L,M,70,75228,Suspended
TRAFFIC FATALITY # 99,L,M,43,75249,Cleared by Exceptional Arrest
UUMV,W,M,38,28241,Suspended
CRIMINAL MISCHIEF,A,F,53,75287,Suspended
CRIMINAL MISCHIEF,B,M,64,75216,Suspended
INV OF CRIMINAL MISCHIEF,W,F,21,75093,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75216,Administratively Closed
CRIMIINAL MISCHIEF,B,M,32,75231,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75216,Suspended
ASSAULT F/V MA,Withheld,Withheld,Withheld,75215,Cleared by Arrest
DUTY ON STRIKE UNATTEND VEH,W,M,29,75214,Suspended
CRIMINAL MISCHIEF,B,M,44,75241,Suspended
RECKLESS DAMAGE,W,M,35,75204,Suspended
CRIMINAL MISCHIEF,B,F,19,75224,Cleared by Exceptional Arrest
DEADLY CONDUCT,Withheld,Withheld,Withheld,75217,Suspended
BMV           (PRIMARY),L,M,25,75211,Suspended
ASSUALT M/A,Withheld,Withheld,Withheld,75217,Suspended
"ASSAULT ""STRANGULATION"" FV",Withheld,Withheld,Withheld,75217,Cleared by Arrest
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75241,Cleared by Arrest
UUMV,B,M,38,75224,Suspended
BMV,W,M,55,77057,Suspended
AGGRAVATED ASSAULT W/MOTOR VEH,B,F,19,75214,Suspended
ASSAULT FV MA,Withheld,Withheld,Withheld,75215,Suspended
CRIMINAL MISCHIEF,L,M,44,75212,Suspended
CRIMINAL MISCHIEF,L,M,45,75220,Suspended
UUMV,L,M,34,74701,Suspended
ROBBERY BY FORCE,L,M,32,75211,Suspended
INV OF CREDIT CARD ABUSE,U,F,24,75243,Suspended
BMV,W,F,21,78751,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75212,Cleared by Arrest
THEFT OF AUTO ACCESSORY,L,F,31,75240,Suspended
CRIMINAL MISCHIEF,W,F,30,75217,Suspended
AGG ASSAULT,B,M,44,75216,Suspended
ASSAULT M/C (FV),Withheld,Withheld,Withheld,75228,Cleared by Arrest
BURGLARY OF RESIDENCE,L,F,19,75237,Suspended
CRIMINAL MISCHIEF,B,F,46,75104,Suspended
BURGLARY,W,F,53,75204,Suspended
ABANDONED CHILDREN,Withheld,Withheld,Withheld,75238,Unfounded
BURG OF RESIDENCE,B,M,49,75243,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75216,Administratively Closed
THEFT,B,M,61,71270,Suspended
BURGLARY OF A RESIDENCE,B,M,25,75287,Suspended
CRIMINAL MISCHIEF//BMV,W,M,51,75224,Suspended
UUMV,B,F,47,75236,Suspended
LOST PROPERTY,B,F,76,75216,Suspended
BURGLARY,B,F,35,75241,Suspended
AGG ASSAULT D/W,B,F,55,75211,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75212,Suspended
BMV,L,F,21,75211,Suspended
THEFT,W,M,75,75203,Suspended
BURGULARY OF A RESIDENCE,B,M,40,75216,Suspended
CRIMINAL MISCHIEF,L,F,37,75224,Suspended
BMV,L,M,25,75052,Open
BURGLARY,B,F,22,75231,Suspended
INV OF HARASSMENT BY PHONE,W,M,68,75209,Suspended
INVEST OF CRIM MISCHIEF,L,F,25,75240,Suspended
THEFT OF KEYS,B,F,20,75216,Suspended
LOST PROPERTY,B,M,24,75154,Suspended
HARASSING PHONE/TEXT MESSAGE,W,F,30,75252,Unfounded
ASSAULT FAMILY VIOLENCE (MA),Withheld,Withheld,Withheld,75231,Cleared by Arrest
ASSAULT FV M/C,Withheld,Withheld,Withheld,75243,Cleared by Arrest
BMV,L,M,40,75211,Cleared by Arrest
CRIMINAL MISCHIEF,B,M,45,75134,Suspended
INVESTIGATION OF BURG OF HAB,L,M,26,75238,Open
ASSAULT F/V MA,Withheld,Withheld,Withheld,75241,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,W,M,34,75214,Suspended
INVEST OF INDECENT EXPOSURE,W,F,33,75235,Suspended
INVEST OF THEFT,L,M,82,75204,Suspended
CRIMINAL MISCHIEF,B,F,28,75212,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75235,Administratively Closed
THEFT,B,M,27,78704,Suspended
THEFT FROM A PERSON,B,F,60,75040,Open
DUTY ON STRIKE UNATTEND VEH,L,M,25,75212,Suspended
ACC INV DMG VEHICLE  FLID,W,M,38,75254,Suspended
ASLT FV M/A,Withheld,Withheld,Withheld,75233,Cleared by Exceptional Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75218,Cleared by Exceptional Arrest
THEFT,W,M,46,75214,Suspended
CRIMINAL MISCHIEF,L,M,31,75233,Suspended
BURG OF MOTOR VEHICLE,B,M,19,75149,Suspended
BURGLARY OF RES,L,M,55,75224,Suspended
INJURED PERSON,B,M,67,75231,Suspended
BMV,W,F,25,75201,Suspended
ACC INV INJ PERSON  FLID,L,M,29,75216,Suspended
NATURAL DEATH,B,F,75,75205,Administratively Closed
RECKLESS DAMAGE,B,M,31,75038,Suspended
CRIMINAL MISCHIEF,W,F,82,75230,Suspended
ACC INV DMG VEHICLE  FLID,L,M,20,75206,Cleared by Exceptional Arrest
BURGLARY OF RESIDENCE,W,M,66,75209,Suspended
BURG OF RESD,B,M,23,75228,Suspended
BMV,W,F,55,78209,Unfounded
ASSAULT M/A STRANGULATION FV,Withheld,Withheld,Withheld,75115,Cleared by Arrest
UUMV,B,F,28,75237,Suspended
RECKLESS DAMAGE,B,F,45,75214,Suspended
INV OF BURG HAB,B,M,64,75287,Suspended
THEFT,C,M,72,75203,Suspended
BURGLARY OF RESIDENCE,B,M,43,75228,Suspended
INV OF THEFT,B,F,63,75215,Suspended
FOUND PROPERTY,W,F,25,75060,Suspended
INDECENCY WITH A CHILD/SEXUA,Withheld,Withheld,Withheld,75235,Cleared by Arrest
ASSAULT M/A//ASSAULT M/C,Withheld,Withheld,Withheld,75210,Cleared by Exceptional Arrest
ASSAULT FV M/A,Withheld,Withheld,Withheld,75204,Cleared by Arrest
INVESTIGATION OF AGG ASSAULT,B,F,19,75201,Suspended
ASLT/FV/MA,Withheld,Withheld,Withheld,75287,Cleared by Exceptional Arrest
BMV,A,F,20,75206,Suspended
BMV,B,F,53,75241,Suspended
HARRASSMENT BY EMAIL,W,F,39,75223,Suspended
BURGLARY OF A RESIDENCE,L,F,23,75211,Suspended
AGG ROBBERY,L,M,26,75050,Cleared by Arrest
ASSLT/ASLT ON A PUBLIC SERVANT,Withheld,Withheld,Withheld,75247,Cleared by Arrest
BURGLARY OF MOTOR VEHICLE,B,F,34,75237,Suspended
BURGLARY OF A MOTOR VEHICLE,B,M,32,75024,Suspended
ASLT F/V STRANGULATION,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
B M V,W,F,27,75204,Suspended
HARASSING PHONE CALLS,L,F,22,75243,Suspended
UUMV,B,M,58,75241,Suspended
ASSAULT M/A / ASSAULT M/C,Withheld,Withheld,Withheld,75220,Cleared by Arrest
BMV,W,M,25,75082,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75229,Administratively Closed
BMV,W,M,36,75243,Suspended
INJURED PERSON,B,F,53,75232,Suspended
INV AGG ROBBERY (AGG ROBBERY),W,M,19,75219,Suspended
AGG ASSAULT W/MOTOR VEH,B,F,17,75243,Open
BURG OF RESIDENCE,B,M,29,75243,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75210,Cleared by Arrest
INV OF THEFT,B,F,63,75241,Suspended
CRIMINAL MISCHIEF,L,F,31,75227,Suspended
UUMV,L,M,37,75217,Suspended
THEFT,L,F,42,75224,Suspended
INJURY TO A CHILD,Withheld,Withheld,Withheld,75243,Cleared by Arrest
UUMV,W,M,32,75243,Unfounded
WANT TO LOCATE,W,F,17,75247,Suspended
RECKLESS DAMAGE,B,F,22,75149,Suspended
INV/ASSAULT M/C,B,M,21,75237,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75228,Cleared by Arrest
AGGRAVATED ASSAULT,B,M,21,75217,Open
INVESTIGATION OF ROBBERY,W,M,55,49509,Open
INVESTIGATION FRAUD,B,F,50,77469,Suspended
BMV,B,F,42,75236,Suspended
BMV,B,F,43,75241,Suspended
THREATS BY PHONE CALLS,W,F,33,75158,Suspended
ACC INV DMG VEH,B,F,36,75232,Cleared by Exceptional Arrest
UNEXPLAINED DEATH,W,M,51,75215,Suspended
BURGLARY OF RESIDENCE,B,F,32,75227,Suspended
AGG ROBBERY,W,M,29,75214,Suspended
RECKLESS DAMAGE,W,M,54,36344,Suspended
"ASSAULT, M/C",Withheld,Withheld,Withheld,75237,Cleared by Exceptional Arrest
RUNAWAY,Withheld,Withheld,Withheld,75211,Administratively Closed
CRIMINAL MISCHIEF,W,F,55,75240,Suspended
CRIMINAL MISCHIEF,B,F,27,75231,Suspended
HARASSMENT BY PHONE,L,F,34,75229,Open
ACC INV DMG VEH,W,M,31,75206,Suspended
INVEST. OF BMV *NO CODE*,L,M,29,75217,Suspended
INVESTIGATION OF THEFT,W,M,38,75252,Suspended
BURGLARY  HABITATION,W,M,64,75238,Suspended
ANIMAL CRUELTY,W,M,42,75224,Suspended
THEFT,W,M,36,75202,Suspended
SEX ASSAULT CHILD,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
THEFT,A,F,32,75287,Suspended
UUMV,B,M,26,76053,Suspended
WANT TO LOCATE,W,F,25,75287,Suspended
UUMV,L,F,38,75149,Suspended
NATURAL DEATH,W,F,87,75228,Suspended
RECKLESS DAMAGE,B,F,56,75081,Suspended
WANT TO LOCATE,L,M,20,75243,Administratively Closed
CHILD ABANDONMENT,Withheld,Withheld,Withheld,75253,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75218,Administratively Closed
THEFT,B,M,52,75234,Suspended
DEADLY CONDUCT,Withheld,Withheld,Withheld,75243,Cleared by Arrest
UNEXPLAINED DEATH,L,M,42,75159,Open
ASSAULT M/A,Withheld,Withheld,Withheld,75243,Suspended
BURGLARY OF RESIDENCE,L,M,65,75227,Suspended
CRIMINAL MISCHIEF,L,M,30,75238,Suspended
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75216,Unfounded
INV OF CRIMINAL MISCHIEF,W,M,27,75217,Suspended
UUMV,L,M,43,75220,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75220,Administratively Closed
INVESTIGATION OF INJURY TO E,W,F,82,75243,Suspended
AGG ASSLT W/DEADLY WEAPON,A,M,22,75220,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75216,Administratively Closed
UUMV,B,F,53,75217,Suspended
INVESTIGATION OF UUMV,B,F,53,75237,Administratively Closed
BMV,B,F,25,75238,Suspended
CRIMINAL MISCHIEF,L,F,36,75227,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75243,Cleared by Arrest
INTERF W/CHILD CUSTODY,Withheld,Withheld,Withheld,75241,Cleared by Exceptional Arrest
ASSAULT MA FV STRANGULATION,Withheld,Withheld,Withheld,76017,Cleared by Exceptional Arrest
TERRORISTIC THREAT,B,F,65,75232,Open
CRIMINAL MISCHIEF,W,M,73,75243,Suspended
ASSAULT FV STRANGULATION,Withheld,Withheld,Withheld,75231,Cleared by Arrest
BURGLARY OF RESIDENCE,B,F,52,75232,Suspended
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75211,Cleared by Arrest
INJURED PERSON,L,M,21,75241,Suspended
SJF CRIMINAL MISCHIEF,W,F,55,75229,Suspended
BMV,L,M,51,75217,Suspended
INJURED PERSON,B,M,77,75241,Suspended
BURGLARY,B,M,53,75224,Suspended
CRIMINAL MISCHIEF,B,F,56,75232,Suspended
HARASSING PHONECALLS/TEXTS,B,F,42,75236,Suspended
INVEST OF IDENTITY THEFT,B,F,57,75216,Suspended
BMV,W,M,37,75229,Suspended
BURGLARY OF A BUILDING,B,F,55,75212,Cleared by Arrest
INJURED PERSON,L,M,24,75220,Suspended
RECKLESS DAMAGE,B,M,52,75243,Suspended
DUTY ON STRIKING UNATTENDEDV,L,M,35,75088,Suspended
AGG ASSAULT,L,M,20,75224,Suspended
DOG BITE,Withheld,Withheld,Withheld,75180,Suspended
AGG ASSAULT WITH A DEADLY WE,L,M,20,75210,Cleared by Exceptional Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75220,Open
WANT TO LOCATE,L,M,33,75240,Administratively Closed
INV OF IDENTITY THEFT,W,M,55,75230,Suspended
CRIMINAL MISCHIEF/ATT BURG H,L,M,29,75240,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
INVESTIGATION OF THEFT,B,M,72,75216,Suspended
AGGRAVATED ASSAULT F/V,W,M,73,75224,Open
BURGLARY OF RESIDENCE,B,F,49,75217,Suspended
NATURAL DEATH,B,M,65,75216,Suspended
CRIMINAL MISCHEIF,B,M,38,75204,Suspended
ASSAULT//ASSAULT M/C,Withheld,Withheld,Withheld,75287,Suspended
HARASSING TELEPHONE CALLS,B,F,29,75217,Suspended
BMV,W,F,32,75214,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75224,Administratively Closed
AGG ASSLT FV,B,M,56,75224,Suspended
UUMV,B,F,33,75243,Suspended
THEFT,W,M,49,75208,Suspended
CRIMINAL MISCHIEF,L,F,28,75231,Suspended
BURGLARY OF MOTOR VEHICLE,W,F,42,75069,Suspended
CRIMINAL MISCHIEF,B,F,52,75216,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75227,Cleared by Exceptional Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75235,Cleared by Arrest
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
BURGLARY OF HABITATION,W,M,57,75208,Open
BMV,W,M,44,42401,Suspended
ASSAULT M/C (FV),Withheld,Withheld,Withheld,75061,Cleared by Arrest
ASSAULT FV M/A,Withheld,Withheld,Withheld,75287,Open
AGG ASSAULT W/DW AGG ROBBERY,B,M,26,75215,Suspended
AGGRAVATED ASSAULT,B,M,19,75247,Suspended
INVEST OF UUMV,B,M,45,75104,Suspended
